company_id,company_name,sector,is_fraud,fraud_type,year,revenue,cogs,gross_profit,opex,net_income,current_assets,total_assets,current_liabilities,total_debt,total_equity,operating_cash_flow,inventory,accounts_receivable,depreciation_amortization,accounts_payable,other_current_liabilities
COMP_0001,Corporation 0001 L.P.,Technology,0,None,2020,438532.6211825978,163083.97727022262,275448.6439123752,91866.77585502698,183581.86805734824,89664.9526865109,243234.6879740571,45989.23958276242,98936.39536929439,98309.0530220003,198145.2099065628,16023.601753902489,45581.5389943963,7819.7339481276595,17367.826316507944,28621.413266254476
COMP_0001,Corporation 0001 L.P.,Technology,0,None,2021,399984.4792731092,149106.5596795196,250877.91959358958,101770.81238966632,149107.10720392328,89300.57450789072,271506.5546812541,31047.199704355036,158893.18869122863,81566.16628567042,162271.94549530337,11778.693107777566,46022.111778623665,11616.903067220435,15111.425678770034,15935.774025585002
COMP_0001,Corporation 0001 L.P.,Technology,0,None,2022,458798.79459643515,159255.69287675194,299543.1017196832,129795.00321608374,169748.09850359947,91552.81770057687,268515.25493520295,32108.011702122807,127235.05617294069,109172.18706013943,186287.63883621534,10771.468570839283,44247.87480445519,10987.356342293839,17882.148157985295,14225.863544137514
COMP_0001,Corporation 0001 L.P.,Technology,0,None,2023,522374.0659271393,205929.04319642397,316445.02273071534,124301.96601255824,192143.05671815708,123793.28219015177,316264.1237118717,55332.675868604,70747.01450428496,190184.43333898272,182562.52580320783,19311.342384220436,61106.03898129192,10162.760285760536,23536.894947493376,31795.780921110618
COMP_0001,Corporation 0001 L.P.,Technology,0,None,2024,608540.6957001342,231699.3663387367,376841.3293613974,135657.79052499696,241183.53883640046,137211.91380374014,289243.32690996863,44623.69515971653,125278.90446226536,119340.72728798672,233461.89075834042,16912.86662125453,82788.87825862852,10689.327929542771,24410.28245426126,20213.412705455274
COMP_0002,Corporation 0002 L.P.,Healthcare,0,None,2020,1480084.8038090654,761452.4813118494,718632.3224972159,366682.14779513446,351950.1747020815,475542.35687831056,1185899.4463347085,226873.78899364808,690419.095655323,268606.56168573746,322021.9217903498,96503.30528445932,202024.9652331965,60650.54805027063,72016.75621747508,154857.032776173
COMP_0002,Corporation 0002 L.P.,Healthcare,0,None,2021,1613327.481615518,787367.869779294,825959.611836224,459133.7039783004,366825.9078579236,596267.2354382321,2044261.3573949814,264369.92469047825,856853.455687932,923037.9770165712,456181.6684411049,99039.17790203368,228896.0868740475,98178.75251349386,92600.7585455878,171769.16614489042
COMP_0002,Corporation 0002 L.P.,Healthcare,0,None,2022,1667538.449735671,894827.9539973423,772710.4957383288,494321.0217135275,278389.4740248013,561433.879562219,1523744.3385559686,325478.7045434238,711944.8351942399,486320.7988183049,351251.9664064607,107562.19347947116,230647.4663493244,72300.95832102104,103436.68765894054,222042.01688448325
COMP_0002,Corporation 0002 L.P.,Healthcare,0,None,2023,1686090.4586938415,744340.4857388656,941749.9729549759,497069.6071234936,444680.3658314823,499680.2652727064,1453483.2937109568,174491.35364618525,676928.6644270896,602063.275637682,539025.8914405829,70026.1601287701,225553.00629619506,66814.9842949912,88336.7355692196,86154.61807696563
COMP_0002,Corporation 0002 L.P.,Healthcare,0,None,2024,1622967.8827800225,801013.4801906011,821954.4025894214,487219.0853593936,334735.31723002775,479344.3560436154,1167760.1663275254,239266.69624439738,580783.8984033063,347709.57167982176,358101.21166801784,87128.79583377727,228050.3402759002,49390.92798465593,81911.67170726605,157355.0245371313
COMP_0003,Corporation 0003 L.P.,Retail,0,None,2020,13614377.602401735,8230308.231737997,5384069.370663738,3568108.215955932,1815961.1547078057,3342977.991843787,8050633.204852154,1983587.213042602,4926650.713553301,1140395.2782562505,1547020.9959827473,1828372.5134832666,722901.490570385,263009.9692196162,1276311.4101668342,707275.8028757677
COMP_0003,Corporation 0003 L.P.,Retail,0,None,2021,14136111.41055929,8092454.865771989,6043656.5447873,3139020.9258379648,2904635.618949335,3605206.944353325,7641586.066270474,2241949.003402709,4289624.3443959765,1110012.718471789,2812213.2377417265,2304673.714731735,509719.18997532857,220934.94208899591,1226072.9875236424,1015876.0158790664
COMP_0003,Corporation 0003 L.P.,Retail,0,None,2022,17039683.293853946,10027117.234518034,7012566.059335912,3865005.682078721,3147560.3772571906,4007686.202520918,7953753.590950136,2860228.6946051,3591644.0155530972,1501880.880791939,3392717.6728600617,2536694.324145454,717499.8749513277,133870.99772797318,1777160.5797882576,1083068.1148168424
COMP_0003,Corporation 0003 L.P.,Retail,0,None,2023,16019651.804981416,10830839.780424397,5188812.024557019,3667051.1287942664,1521760.8957627523,4112702.9996278086,8140634.587760379,2813188.9094143324,4186547.889288092,1140897.7890579542,1715442.6428579765,2732644.1191217923,598650.0234459932,215351.27627347692,1832590.9940810087,980597.9153333235
COMP_0003,Corporation 0003 L.P.,Retail,0,None,2024,20711951.863511585,13953468.943746133,6758482.919765452,3816402.789305721,2942080.130459731,5751502.17370837,9727742.308337275,2813559.9870685823,6961222.352757427,-47040.031488734065,1926610.830862071,3839205.6213904778,940502.4515154063,160056.3229749952,2105479.301846452,708080.68522213
COMP_0004,Corporation 0004 L.P.,Retail,0,None,2020,62367338.65845136,41401593.56726804,20965745.091183327,15268491.039616134,5697254.051567193,18572442.82838443,33397381.436184816,10415695.179308409,16603210.718205765,6378475.538670641,3270690.5532610165,12985527.30268039,2472597.7950222483,956732.4649720497,7231554.425969715,3184140.7533386936
COMP_0004,Corporation 0004 L.P.,Retail,0,None,2021,61185255.68818699,41246426.10177911,19938829.586407878,13050577.421692438,6888252.164715439,14654566.416873883,30839535.90592611,7796726.979384597,16851283.875939213,6191525.050602298,9954618.700431159,9309132.653474757,2490045.819282186,885841.8396005551,5753132.497139185,2043594.4822454127
COMP_0004,Corporation 0004 L.P.,Retail,0,None,2022,74069712.97189993,48938206.54057513,25131506.431324795,13527191.44050312,11604314.990821674,18578131.754681922,35726575.885236084,12272098.707461974,16535815.721539654,6918661.456234458,11727631.013395725,12252454.431558544,2685237.15442056,923498.142115823,8091463.490819571,4180635.216642403
COMP_0004,Corporation 0004 L.P.,Retail,0,None,2023,82360206.1725387,55843450.47265302,26516755.69988568,20795255.068458717,5721500.631426964,21165662.207245894,41296516.46084048,14539027.264323104,27330270.907182947,-572781.7106655724,5508084.64700835,14478801.809487944,2961436.0693307472,729206.1001198697,9651387.699120674,4887639.56520243
COMP_0004,Corporation 0004 L.P.,Retail,0,None,2024,129890630.87373765,88136576.49761777,41754054.37611988,33000918.91427021,8753135.46184967,34424218.69129025,58986546.19239519,20063364.314231507,33715634.313154526,5207547.565009156,2803311.8373742485,23381721.70859638,5113584.714912938,1388113.2275145224,13368519.391821355,6694844.922410151
